iter,v1,v2,v3,v4,v5,v6,v7,fitness,p1,p2,p3,p4,p5,time
1,2.4,3.6,3.0,5.1,30.0,18.2,23.4,17384.92862036033,4244.7264280717045,3135.72348557592,3135.7251433163415,3434.3756155687724,3434.377947827591,959.98
2,2.4,3.6,3.0,5.1,30.0,18.2,23.4,17384.92862036033,4244.7264280717045,3135.72348557592,3135.7251433163415,3434.3756155687724,3434.377947827591,1091.34
3,2.5,3.6,4.0,3.0,30.0,25.0,20.7,19385.159527365908,4413.297698840932,5512.029557872369,5512.027177771632,1973.9018910999855,1973.9032017809914,1096.23
4,2.3,5.0,3.0,3.0,30.0,25.0,6.5,20060.2180598678,5989.501069907876,4388.272995130878,4388.266658611365,2647.0881526637845,2647.089183553898,1351.48
5,2.3,5.0,3.0,3.0,30.0,25.0,6.5,20060.2180598678,5989.501069907876,4388.272995130878,4388.266658611365,2647.0881526637845,2647.089183553898,1437.67
6,2.5,5.0,3.0,25.0,30.0,5.8,18.0,21788.61571347801,6345.583021519085,3293.3110489214323,3293.308818443042,4428.206048070422,4428.206776524031,1284.57
7,2.5,5.0,3.0,25.0,30.0,3.0,16.7,23407.243875893557,6714.387501055751,4106.2610264768155,4106.257415012834,4240.161855586172,4240.176077761985,1379.48
8,2.5,5.0,3.0,25.0,30.0,3.0,16.7,23407.243875893557,6714.387501055751,4106.2610264768155,4106.257415012834,4240.161855586172,4240.176077761985,1348.01
9,2.5,4.8,3.0,25.0,30.0,3.8,18.8,23415.41921943831,6615.91376315004,4159.659323378553,4159.659676133136,4240.089839882702,4240.0966168938785,1314.23
10,2.5,4.8,3.2,3.0,30.0,22.2,30.0,23442.831906876465,5796.148150143274,5309.929603451851,5309.9373505793765,3513.4101594132107,3513.4066432887535,1358.02
11,2.5,4.7,3.0,5.5,12.0,3.0,30.0,23824.415927956543,4977.555095188453,5186.298455988262,5186.298314053598,4237.13438575994,4237.1296769662895,1326.44
12,2.5,4.7,3.0,5.5,12.0,3.0,30.0,23824.415927956543,4977.555095188453,5186.298455988262,5186.298314053598,4237.13438575994,4237.1296769662895,1295.88
13,2.5,4.7,3.0,5.5,12.0,3.0,30.0,23824.415927956543,4977.555095188453,5186.298455988262,5186.298314053598,4237.13438575994,4237.1296769662895,1347.12
14,2.5,4.7,3.0,5.5,12.0,3.0,30.0,23824.415927956543,4977.555095188453,5186.298455988262,5186.298314053598,4237.13438575994,4237.1296769662895,1251.84
15,2.5,4.7,3.0,5.5,12.0,3.0,30.0,23824.415927956543,4977.555095188453,5186.298455988262,5186.298314053598,4237.13438575994,4237.1296769662895,1330.83
16,2.5,4.8,25.0,3.0,30.0,23.4,30.0,24639.97441810042,7332.8011301353,3544.012680862447,3544.016798326659,5109.573507566192,5109.570301209823,1071.04
17,2.5,4.8,25.0,3.0,30.0,23.4,30.0,24639.97441810042,7332.8011301353,3544.012680862447,3544.016798326659,5109.573507566192,5109.570301209823,1077.79
18,2.5,4.8,25.0,3.0,30.0,23.4,30.0,24639.97441810042,7332.8011301353,3544.012680862447,3544.016798326659,5109.573507566192,5109.570301209823,1244.50
19,2.5,4.0,3.4,3.0,17.7,3.0,30.0,25121.112013282174,6438.720147259987,4671.991745658309,4671.996007583391,4669.206944932702,4669.197167847788,1162.49
20,2.5,4.0,3.4,3.0,17.7,3.0,30.0,25121.112013282174,6438.720147259987,4671.991745658309,4671.996007583391,4669.206944932702,4669.197167847788,1186.63
21,2.5,3.8,3.4,3.0,17.8,3.0,30.0,25778.627503269643,6454.703725503776,4902.186851436926,4902.189821098785,4759.776624426447,4759.770480803707,1020.01
22,2.5,3.8,3.4,3.0,17.8,3.0,30.0,25778.627503269643,6454.703725503776,4902.186851436926,4902.189821098785,4759.776624426447,4759.770480803707,1130.46
23,2.5,4.1,3.4,3.0,30.0,3.0,14.6,26697.69140412163,5660.039875550208,5505.837789362658,5505.839444627068,5012.986741285572,5012.987553296124,1151.46
24,2.5,4.1,3.4,3.0,30.0,3.0,14.6,26697.69140412163,5660.039875550208,5505.837789362658,5505.839444627068,5012.986741285572,5012.987553296124,1190.12
25,2.5,4.1,3.4,3.0,30.0,3.0,14.6,26697.69140412163,5660.039875550208,5505.837789362658,5505.839444627068,5012.986741285572,5012.987553296124,1187.68
26,2.5,4.1,3.4,3.0,30.0,3.0,14.6,26697.69140412163,5660.039875550208,5505.837789362658,5505.839444627068,5012.986741285572,5012.987553296124,1254.11
27,2.5,4.1,3.4,3.0,30.0,3.0,14.6,26697.69140412163,5660.039875550208,5505.837789362658,5505.839444627068,5012.986741285572,5012.987553296124,1257.79
28,2.5,4.1,3.4,3.0,30.0,3.0,14.6,26697.69140412163,5660.039875550208,5505.837789362658,5505.839444627068,5012.986741285572,5012.987553296124,1152.35
29,2.5,3.7,3.1,3.0,12.4,3.0,29.4,26896.882309575514,5157.928401129526,5748.12858506022,5748.131675463896,5121.348021233487,5121.345626688384,1165.22
30,2.5,3.7,3.1,3.0,12.4,3.0,29.4,26896.882309575514,5157.928401129526,5748.12858506022,5748.131675463896,5121.348021233487,5121.345626688384,1162.50
31,2.5,3.7,3.1,3.0,12.4,3.0,29.4,26896.882309575514,5157.928401129526,5748.12858506022,5748.131675463896,5121.348021233487,5121.345626688384,1009.84
32,2.5,3.9,3.0,3.0,30.0,3.0,11.9,26933.63906877373,4882.014707460912,5685.673565342429,5685.672578873338,5340.139183663087,5340.139033433965,1065.70
33,2.5,3.9,3.0,3.0,30.0,3.0,11.9,26933.63906877373,4882.014707460912,5685.673565342429,5685.672578873338,5340.139183663087,5340.139033433965,1052.72
34,2.5,3.9,3.0,3.0,30.0,3.0,13.2,27292.73631662577,5247.922911735572,5759.496797992769,5759.482456172767,5262.920714182589,5262.913436542076,1192.97
35,2.5,3.9,3.0,3.0,30.0,3.0,13.2,27292.73631662577,5247.922911735572,5759.496797992769,5759.482456172767,5262.920714182589,5262.913436542076,1048.66
36,2.5,3.8,3.0,3.0,30.0,3.0,13.6,27377.21472503159,5392.802218989168,5816.786862131804,5816.790251521462,5175.415972484696,5175.419419904459,1039.33
37,2.5,3.8,3.0,3.0,30.0,3.0,13.6,27377.21472503159,5392.802218989168,5816.786862131804,5816.790251521462,5175.415972484696,5175.419419904459,1079.52
38,2.5,3.8,3.0,3.0,30.0,3.0,13.6,27377.21472503159,5392.802218989168,5816.786862131804,5816.790251521462,5175.415972484696,5175.419419904459,1044.63
39,2.5,3.8,3.0,3.0,30.0,3.0,13.6,27377.21472503159,5392.802218989168,5816.786862131804,5816.790251521462,5175.415972484696,5175.419419904459,987.00
40,2.5,3.8,3.0,3.0,30.0,3.0,13.6,27377.21472503159,5392.802218989168,5816.786862131804,5816.790251521462,5175.415972484696,5175.419419904459,997.92
41,2.5,3.8,3.0,3.0,30.0,3.0,14.1,27384.878622734177,5558.720754541715,5760.301415160385,5760.293846342248,5152.781940883859,5152.780665805969,1114.46
42,2.5,3.8,3.0,3.0,30.0,3.0,14.1,27384.878622734177,5558.720754541715,5760.301415160385,5760.293846342248,5152.781940883859,5152.780665805969,1256.14
43,2.5,3.8,3.0,3.0,30.0,3.0,14.1,27384.878622734177,5558.720754541715,5760.301415160385,5760.293846342248,5152.781940883859,5152.780665805969,1189.53
44,2.5,3.8,3.0,3.0,30.0,3.0,14.0,27387.694128166433,5525.162936333322,5773.68528835369,5773.69119680134,5157.577340093091,5157.57736658499,1138.77
45,2.5,3.8,3.0,3.0,30.0,3.0,14.0,27387.694128166433,5525.162936333322,5773.68528835369,5773.69119680134,5157.577340093091,5157.57736658499,1167.43
46,2.5,3.8,3.0,3.0,30.0,3.0,14.0,27387.694128166433,5525.162936333322,5773.68528835369,5773.69119680134,5157.577340093091,5157.57736658499,820.64
47,2.5,3.8,3.0,3.0,30.0,3.0,14.0,27387.694128166433,5525.162936333322,5773.68528835369,5773.69119680134,5157.577340093091,5157.57736658499,673.58
48,2.5,3.8,3.0,3.0,30.0,3.0,14.0,27387.694128166433,5525.162936333322,5773.68528835369,5773.69119680134,5157.577340093091,5157.57736658499,526.35
49,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,227.35
50,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,63.80
51,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
52,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
53,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
54,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
55,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
56,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
57,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
58,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
59,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
60,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
61,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
62,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
63,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
64,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
65,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
66,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
67,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
68,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
69,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
70,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
71,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
72,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
73,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
74,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
75,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
76,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
77,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
78,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
79,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
80,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
81,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
82,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
83,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
84,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
85,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
86,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
87,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
88,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
89,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
90,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
91,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
92,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
93,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
94,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
95,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
96,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
97,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
98,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
99,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
100,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
101,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
102,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
103,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
104,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
105,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
106,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
107,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
108,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
109,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
110,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
111,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
112,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
113,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
114,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
115,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
116,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
117,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
118,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
119,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
120,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
121,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
122,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
123,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
124,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
125,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
126,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
127,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
128,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
129,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
130,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
131,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
132,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
133,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
134,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
135,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
136,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
137,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
138,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
139,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
140,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
141,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
142,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
143,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
144,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
145,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
146,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
147,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
148,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
149,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
